SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Science,Science,Year 1,AC9S1ASC05,Students pose questions to explore observations and make predictions based on experiences.,Science inquiry,"based, experiences, explore, make, observations, pose, predictions, questions",AC9S1I01,High
Science,Science,Year 1,AC9S1ASC06,They follow safe procedures to make and record observations.,Science inquiry,"follow, make, observations, procedures, record, safe","AC9S1I02, AC9S1I03",High
Science,Science,Year 1,AC9S1ASC07,"They use provided tables and organisers to sort and order data and information and, with guidance, represent patterns.",Science inquiry,"data, guidance, information, order, organisers, patterns, provided, represent, sort, tables",AC9S1I04,High
Science,Science,Year 1,AC9S1ASC08,"With guidance, they compare observations with predictions and identify further questions.",Science inquiry,"compare, further, guidance, identify, observations, predictions, questions",AC9S1I05,High
Science,Science,Year 1,AC9S1ASC09,"They use everyday vocabulary to communicate observations, findings and ideas.",Science inquiry skills,"communicate, everyday, findings, ideas, observations, vocabulary",AC9S1I06,High
Science,Science,Year 2,AC9S2ASC01,By the end of Year 2 students identify celestial objects and describe patterns they observe in the sky.,Science understanding,"celestial, describe, identify, objects, observe, patterns, year",AC9S2U01,High
Science,Science,Year 2,AC9S2ASC02,They demonstrate how different sounds can be produced and describe the effect of sound energy on objects.,Science understanding,"demonstrate, describe, different, effect, energy, objects, produced, sound, sounds",AC9S2U02,High
Science,Science,Year 2,AC9S2ASC03,They identify ways to change materials without changing their material composition.,Science understanding,"change, changing, composition, identify, material, materials, ways, without",AC9S2U03,High
Science,Science,Year 2,AC9S2ASC04,They describe how people use science in their daily lives and how people use patterns to make scientific predictions.,Science as a human endeavour,"daily, describe, lives, make, patterns, people, predictions, science, scientific",AC9S2H01,High
Science,Science,Year 2,AC9S2ASC05,Students pose questions to explore observed patterns or relationships and make predictions based on experience.,Science inquiry,"based, experience, explore, make, observed, patterns, pose, predictions, questions, relationships",AC9S2I01,High
Science,Science,Year 2,AC9S2ASC06,They suggest steps to be followed in an investigation and follow safe procedures to make and record observations.,Science inquiry,"follow, followed, investigation, make, observations, procedures, record, safe, steps, suggest","AC9S2I02, AC9S2I03",High
Science,Science,Year 2,AC9S2ASC07,They use provided tables and organisers to sort and order data and represent patterns in data.,Science inquiry,"data, order, organisers, patterns, provided, represent, sort, tables",AC9S2I04,High
Science,Science,Year 2,AC9S2ASC08,"With guidance, they compare their observations with those of others, identify whether their investigation was fair and identify further questions.",Science inquiry,"compare, fair, further, guidance, identify, investigation, observations, others, questions, whether",AC9S2I05,High
Science,Science,Year 2,AC9S2ASC09,"They use everyday and scientific vocabulary to communicate observations, findings and ideas.",Science inquiry,"communicate, everyday, findings, ideas, observations, scientific, vocabulary",AC9S2I06,High
Science,Science,Year 3,AC9S3ASC01,By the end of Year 3 students classify and compare living and non-living things and different life cycles.,Science understanding,"classify, compare, cycles, different, life, living, non-living, things, year",AC9S3U01,High
Science,Science,Year 3,AC9S3ASC02,"They describe the observable properties of soils, rocks and minerals and describe their importance as resources.",Science understanding,"describe, importance, minerals, observable, properties, resources, rocks, soils",AC9S3U02,High
Science,Science,Year 3,AC9S3ASC03,They identify sources of heat energy and examples of heat transfer and explain changes in the temperature of objects.,Science understanding,"changes, energy, examples, explain, heat, identify, objects, sources, temperature, transfer",AC9S3U03,High
Science,Science,Year 3,AC9S3ASC04,They classify solids and liquids based on observable properties and describe how to cause a change of state.,Science understanding,"based, cause, change, classify, describe, liquids, observable, properties, solids, state",AC9S3U04,High
Science,Science,Year 3,AC9S3ASC05,They describe how people use data to develop explanations.,Science as a human endeavour,"data, describe, develop, explanations, people",AC9S3H01,High
Science,Science,Year 3,AC9S3ASC06,They identify solutions that use scientific explanations.,Science as a human endeavour,"explanations, identify, scientific, solutions",AC9S3H02,High
Science,Science,Year 3,AC9S3ASC07,Students pose questions to explore patterns and relationships and make predictions based on observations.,Science inquiry,"based, explore, make, observations, patterns, pose, predictions, questions, relationships",AC9S3I01,High
Science,Science,Year 3,AC9S3ASC08,They use scaffolds to plan safe investigations and fair tests.,Science inquiry,"fair, investigations, plan, safe, scaffolds, tests",AC9S3I02,High
Science,Science,Year 3,AC9S3ASC09,They use familiar classroom instruments to make measurements.,Science inquiry,"classroom, familiar, instruments, make, measurements",AC9S3I03,High
Science,Science,Year 3,AC9S3ASC10,They organise data and information using provided scaffolds and identify patterns and relationships.,Science inquiry,"data, identify, information, organise, patterns, provided, relationships, scaffolds",AC9S3I04,High
Science,Science,Year 3,AC9S3ASC11,"They compare their findings with those of others, explain how they kept their investigation fair, identify further questions and draw conclusions.",Science inquiry,"compare, conclusions, draw, explain, fair, findings, further, identify, investigation, kept, others, questions",AC9S3I05,High
Science,Science,Year 3,AC9S3ASC12,"They communicate ideas and findings for an identified purpose, including using scientific vocabulary when appropriate.",Science inquiry skills,"appropriate, communicate, findings, ideas, identified, purpose, scientific, vocabulary, when",AC9S3I06,High
Science,Science,Year 4,AC9S4ASC01,By the end of Year 4 students identify the roles of organisms in a habitat and construct food chains.,Science understanding,"chains, construct, food, habitat, identify, organisms, roles, year",AC9S4U01,High
Science,Science,Year 4,AC9S4ASC02,They identify key processes in the water cycle and describe how water cycles through the environment.,Science understanding,"cycle, cycles, describe, environment, identify, processes, water",AC9S4U02,High
Science,Science,Year 4,AC9S4ASC03,They identify forces acting on objects and describe their effect.,Science understanding,"acting, describe, effect, forces, identify, objects",AC9S4U03,High
Science,Science,Year 4,AC9S4ASC04,They relate the uses of materials to their properties.,Science understanding,"materials, properties, relate, uses",AC9S4U04,High
Science,Science,Year 4,AC9S4ASC05,They explain the role of data in science inquiry.,Science understanding,"data, explain, inquiry, role, science",AC9S4H01,High
Science,Science,Year 4,AC9S4ASC06,They identify solutions based on scientific explanations and describe the needs these meet.,Science as a human endeavour,"based, describe, explanations, identify, meet, needs, scientific, solutions",AC9S4H02,High
Science,Science,Year 4,AC9S4ASC07,Students pose questions to identify patterns and relationships and make predictions based on observations.,Science inquiry,"based, identify, make, observations, patterns, pose, predictions, questions, relationships",AC9S4I01,High
Science,Science,Year 4,AC9S4ASC08,"They plan investigations using planning scaffolds, identify key elements of fair tests and describe how they conduct investigations safely.",Science inquiry,"conduct, describe, elements, fair, identify, investigations, plan, planning, safely, scaffolds, tests",AC9S4I02,High
Science,Science,Year 4,AC9S4ASC09,They use simple procedures to make accurate formal measurements.,Science inquiry,"accurate, formal, make, measurements, procedures, simple",AC9S4I03,High
Science,Science,Year 4,AC9S4ASC10,They construct representations to organise data and information and identify patterns and relationships.,Science inquiry skills,"construct, data, identify, information, organise, patterns, relationships, representations",AC9S4I04,High
Science,Science,Year 4,AC9S4ASC11,"They compare their findings with those of others, assess the fairness of their investigation, identify further questions for investigation and draw conclusions.",Science inquiry skills,"assess, compare, conclusions, draw, fairness, findings, further, identify, investigation, others, questions",AC9S4I05,High
Science,Science,Year 4,AC9S4ASC12,"They communicate ideas and findings for an identified audience and purpose, including using scientific vocabulary when appropriate.",Science inquiry skills,"appropriate, audience, communicate, findings, ideas, identified, purpose, scientific, vocabulary, when",AC9S4I06,High
Science,Science,Year 5,AC9S5ASC01,By the end of Year 5 students explain how the form and behaviour of living things enables survival.,Science understanding,"behaviour, enables, explain, form, living, survival, things, year",AC9S5U01,High
Science,Science,Year 5,AC9S5ASC02,They describe key processes that change Earth’s surface.,Science understanding,"change, describe, earth’s, processes, surface",AC9S5U02,High
Science,Science,Year 5,AC9S5ASC03,They identify sources of light and model the transfer of light to explain observed phenomena.,Science understanding,"explain, identify, light, model, observed, phenomena, sources, transfer",AC9S5U03,High
Science,Science,Year 5,AC9S5ASC04,"They relate the particulate arrangement of solids, liquids and gases to their observable properties.",Science understanding,"arrangement, gases, liquids, observable, particulate, properties, relate, solids",AC9S5U04,High
Science,Science,Year 5,AC9S5ASC05,"They describe examples of collaboration leading to advances in science, and scientific knowledge that has changed over time.",Science as a human endeavour,"advances, changed, collaboration, describe, examples, knowledge, leading, over, science, scientific, time",AC9S5H01,High
Science,Science,Year 5,AC9S5ASC06,They identify examples where scientific knowledge informs the actions of individuals and communities.,Science as a human endeavour,"actions, communities, examples, identify, individuals, informs, knowledge, scientific, where",AC9S5H02,High
Science,Science,Year 5,AC9S5ASC07,Students plan safe investigations to identify patterns and relationships and make reasoned predictions.,Science inquiry,"identify, investigations, make, patterns, plan, predictions, reasoned, relationships, safe","AC9S5I01, AC9S5I02",High
Science,Science,Year 5,AC9S5ASC08,They identify risks associated with investigations and key intercultural considerations when planning field work.,Science inquiry,"associated, considerations, field, identify, intercultural, investigations, planning, risks, when, work",AC9S5I02,High
Science,Science,Year 5,AC9S5ASC09,They identify variables to be changed and measured.,Science inquiry,"changed, identify, measured, variables",AC9S5I02,High
Science,Science,Year 5,AC9S5ASC10,They use equipment to generate data with appropriate precision.,Science inquiry,"appropriate, data, equipment, generate, precision",AC9S5I03,High
Science,Science,Year 5,AC9S5ASC11,"They construct representations to organise data and information and describe patterns, trends and relationships.",Science inquiry,"construct, data, describe, information, organise, patterns, relationships, representations, trends",AC9S5I04,High
Science,Science,Year 5,AC9S5ASC12,"They compare their methods and findings to those of others, identify possible sources of error in their investigation, pose questions for further investigation and draw reasoned conclusions.",Science inquiry,"compare, conclusions, draw, error, findings, further, identify, investigation, methods, others, pose, possible, questions, reasoned, sources",AC9S5I05,High
Science,Science,Year 5,AC9S5ASC13,They use language features that reflect their purpose and audience when communicating their ideas and findings.,Science inquiry skills,"audience, communicating, features, findings, ideas, language, purpose, reflect, when",AC9S5I06,High
Science,Science,Year 6,AC9S6ASC01,By the end of Year 6 students explain how changes in physical conditions affect living things.,Science understanding,"affect, changes, conditions, explain, living, physical, things, year",AC9S6U01,High
Science,Science,Year 6,AC9S6ASC02,They model the relationship between the sun and planets of the solar system and explain how the relative positions of Earth and the sun relate to observed phenomena on Earth.,Science understanding,"between, earth, explain, model, observed, phenomena, planets, positions, relate, relationship, relative, solar, system",AC9S6U02,High
Science,Science,Year 6,AC9S6ASC03,They identify the role of circuit components in the transfer and transformation of electrical energy.,Science understanding,"circuit, components, electrical, energy, identify, role, transfer, transformation",AC9S6U03,High
Science,Science,Year 6,AC9S6ASC04,They classify and compare reversible and irreversible changes to substances.,Science understanding,"changes, classify, compare, irreversible, reversible, substances",AC9S6U04,High
Science,Science,Year 6,AC9S6ASC05,They explain why science is often collaborative and describe different individuals’ contributions to scientific knowledge.,Science as a human endeavour,"collaborative, contributions, describe, different, explain, individuals’, knowledge, often, science, scientific",AC9S6H01,High
Science,Science,Year 6,AC9S6ASC06,They describe how individuals and communities use scientific knowledge.,Science as a human endeavour,"communities, describe, individuals, knowledge, scientific",AC9S6H02,High
Science,Science,Year 6,AC9S6ASC07,"Students plan safe, repeatable investigations to identify patterns and test relationships and make reasoned predictions.",Science inquiry,"identify, investigations, make, patterns, plan, predictions, reasoned, relationships, repeatable, safe, test","AC9S6I01, AC9S6I02",High
Science,Science,Year 6,AC9S6ASC08,They describe risks associated with investigations and key intercultural considerations when planning field work.,Science inquiry,"associated, considerations, describe, field, intercultural, investigations, planning, risks, when, work",AC9S6I02,High
Science,Science,Year 6,AC9S6ASC09,"They identify variables to be changed, measured and controlled.",Science inquiry,"changed, controlled, identify, measured, variables",AC9S6I02,High
Science,Science,Year 6,AC9S6ASC10,They use equipment to generate and record data with appropriate precision.,Science inquiry,"appropriate, data, equipment, generate, precision, record",AC9S6I03,High
Science,Science,Year 6,AC9S6ASC11,"They construct representations to organise and process data and information and describe patterns, trends and relationships.",Science inquiry,"construct, data, describe, information, organise, patterns, process, relationships, representations, trends",AC9S6I04,High
Science,Science,Year 6,AC9S6ASC12,"They identify possible sources of error in their own and others’ methods and findings, pose questions for further investigation and select evidence to support reasoned conclusions.",Science inquiry,"conclusions, error, evidence, findings, further, identify, investigation, methods, others’, pose, possible, questions, reasoned, select, sources, support",AC9S6I05,High
Science,Science,Year 6,AC9S6ASC13,They select and use language features effectively for their purpose and audience when communicating their ideas and findings.,Science inquiry skills,"audience, communicating, effectively, features, findings, ideas, language, purpose, select, when",AC9S6I06,High
Science,Science,Year 7,AC9S7ASC01,By the end of Year 7 students explain how biological diversity is ordered and organised.,Science understanding,"biological, diversity, explain, ordered, organised, year",AC9S7U01,High
Science,Science,Year 7,AC9S7ASC02,They represent flows of matter and energy in ecosystems and predict the effects of environmental changes.,Science understanding,"changes, ecosystems, effects, energy, environmental, flows, matter, predict, represent",AC9S7U02,High
Science,Science,Year 7,AC9S7ASC03,They model cycles in the Earth-sun-moon system and explain the effects of these cycles on Earth phenomena.,Science understanding,"cycles, earth, earth-sun-moon, effects, explain, model, phenomena, system",AC9S7U03,High
Science,Science,Year 7,AC9S7ASC04,They represent and explain the effects of forces acting on objects.,Science understanding,"acting, effects, explain, forces, objects, represent",AC9S7U04,High
Science,Science,Year 7,AC9S7ASC05,They use particle theory to explain the physical properties of substances and develop processes that separate mixtures.,Science understanding,"develop, explain, mixtures, particle, physical, processes, properties, separate, substances, theory","AC9S7U05, AC9S7U06",High
Science,Science,Year 7,AC9S7ASC06,Students identify the factors that can influence development of and lead to changes in scientific knowledge.,Science as a human endeavour,"changes, development, factors, identify, influence, knowledge, lead, scientific","AC9S7H01, AC9S7H02",High
Science,Science,Year 7,AC9S7ASC07,They explain how scientific responses are developed and can impact society.,Science as a human endeavour,"developed, explain, impact, responses, scientific, society",AC9S7H03,High
Science,Science,Year 7,AC9S7ASC08,"They explain the role of science communication in shaping viewpoints, policies and regulations.",Science as a human endeavour,"communication, explain, policies, regulations, role, science, shaping, viewpoints",AC9S7H04,High
Science,Science,Year 7,AC9S7ASC09,"Students plan and conduct safe, reproducible investigations to test relationships and aspects of scientific models.",Science inquiry,"aspects, conduct, investigations, models, plan, relationships, reproducible, safe, scientific, test","AC9S7I01, AC9S7I02",High
Science,Science,Year 7,AC9S7ASC10,They identify potential ethical issues and intercultural considerations required for field locations or use of secondary data.,Science inquiry,"considerations, data, ethical, field, identify, intercultural, issues, locations, potential, required, secondary",AC9S7I02,High
Science,Science,Year 7,AC9S7ASC11,They use equipment to generate and record data with precision.,Science inquiry,"data, equipment, generate, precision, record",AC9S7I03,High
Science,Science,Year 7,AC9S7ASC12,They select and construct appropriate representations to organise data and information.,Science inquiry,"appropriate, construct, data, information, organise, representations, select",AC9S7I04,High
Science,Science,Year 7,AC9S7ASC13,"They process data and information and analyse it to describe patterns, trends and relationships.",Science inquiry,"analyse, data, describe, information, patterns, process, relationships, trends",AC9S7I05,High
Science,Science,Year 7,AC9S7ASC14,They identify possible sources of error in methods and identify unanswered questions in conclusions and claims.,Science inquiry,"claims, conclusions, error, identify, methods, possible, questions, sources, unanswered",AC9S7I06,High
Science,Science,Year 7,AC9S7ASC15,They identify evidence to support their conclusions and construct arguments to support or dispute claims.,Science inquiry,"arguments, claims, conclusions, construct, dispute, evidence, identify, support",AC9S7I07,High
Science,Science,Year 7,AC9S7ASC16,They select and use language and text features appropriately for their purpose and audience when communicating their ideas and findings.,Science inquiry,"appropriately, audience, communicating, features, findings, ideas, language, purpose, select, text, when",AC9S7I08,High
Science,Science,Year 8,AC9S8ASC01,By the end of Year 8 students explain the role of specialised cell structures and organelles in cellular function and analyse the relationship between structure and function at organ and body system levels.,Science understanding,"analyse, between, body, cell, cellular, explain, function, levels, organ, organelles, relationship, role, specialised, structure, structures, system, year","AC9S8U01, AC9S8U02",High
Science,Science,Year 8,AC9S8ASC02,They apply an understanding of the theory of plate tectonics to explain patterns of change in the geosphere.,Science understanding,"apply, change, explain, geosphere, patterns, plate, tectonics, theory, understanding",AC9S8U03,High
Science,Science,Year 8,AC9S8ASC03,They explain how the properties of rocks relate to their formation and influence their use.,Science understanding,"explain, formation, influence, properties, relate, rocks",AC9S8U04,High
Science,Science,Year 8,AC9S8ASC04,They compare different forms of energy and represent transfer and transformation of energy in simple systems.,Science understanding,"compare, different, energy, forms, represent, simple, systems, transfer, transformation",AC9S8U05,High
Science,Science,Year 8,AC9S8ASC05,They classify and represent different types of matter and distinguish between physical and chemical change.,Science understanding,"between, change, chemical, classify, different, distinguish, matter, physical, represent, types","AC9S8U06, AC9S8U07",High
Science,Science,Year 8,AC9S8ASC06,Students analyse how different factors influence development of and lead to changes in scientific knowledge.,Science as a human endeavour,"analyse, changes, development, different, factors, influence, knowledge, lead, scientific","AC9S8H01, AC9S8H02",High
Science,Science,Year 8,AC9S8ASC07,They analyse the key considerations that inform scientific responses and how these responses impact society.,Science as a human endeavour,"analyse, considerations, impact, inform, responses, scientific, society",AC9S8H03,High
Science,Science,Year 8,AC9S8ASC08,"They analyse the importance of science communication in shaping viewpoints, policies and regulations.",Science as a human endeavour,"analyse, communication, importance, policies, regulations, science, shaping, viewpoints",AC9S8H04,High
Science,Science,Year 8,AC9S8ASC09,"Students plan and conduct safe, reproducible investigations to test relationships and explore models.",Science inquiry,"conduct, explore, investigations, models, plan, relationships, reproducible, safe, test","AC9S8I01, AC9S8I02",High
Science,Science,Year 8,AC9S8ASC10,They describe potential ethical issues and intercultural considerations needed for specific field locations or use of secondary data.,Science inquiry,"considerations, data, describe, ethical, field, intercultural, issues, locations, needed, potential, secondary, specific",AC9S8I02,High
Science,Science,Year 8,AC9S8ASC11,They select and use equipment to generate and record data with precision.,Science inquiry,"data, equipment, generate, precision, record, select",AC9S8I03,High
Science,Science,Year 8,AC9S8ASC12,They select and construct appropriate representations to organise and process data and information.,Science inquiry,"appropriate, construct, data, information, organise, process, representations, select",AC9S8I04,High
Science,Science,Year 8,AC9S8ASC13,"They analyse data and information to describe patterns, trends and relationships and identify anomalies.",Science inquiry,"analyse, anomalies, data, describe, identify, information, patterns, relationships, trends",AC9S8I05,High
Science,Science,Year 8,AC9S8ASC14,They identify assumptions and sources of error in methods and analyse conclusions and claims with reference to conflicting evidence and unanswered questions.,Science inquiry,"analyse, assumptions, claims, conclusions, conflicting, error, evidence, identify, methods, questions, reference, sources, unanswered",AC9S8I06,High
Science,Science,Year 8,AC9S8ASC15,They construct evidence-based arguments to support conclusions and evaluate claims.,Science inquiry,"arguments, claims, conclusions, construct, evaluate, evidence-based, support",AC9S8I07,High
Science,Science,Year 8,AC9S8ASC16,"They select and use language and text features appropriately for their purpose when communicating their ideas, findings and arguments to specific audiences.",Science inquiry skills,"appropriately, arguments, audiences, communicating, features, findings, ideas, language, purpose, select, specific, text, when",AC9S8I08,High
Science,Science,Year 9,AC9S9ASC01,By the end of Year 9 students explain how body systems provide a coordinated response to stimuli.,Science understanding,"body, coordinated, explain, provide, response, stimuli, systems, year",AC9S9U01,High
Science,Science,Year 9,AC9S9ASC02,They describe how the processes of sexual and asexual reproduction enable survival of the species.,Science understanding,"asexual, describe, enable, processes, reproduction, sexual, species, survival",AC9S9U02,High
Science,Science,Year 9,AC9S9ASC03,They explain how interactions within and between Earth’s spheres affect the carbon cycle.,Science understanding,"affect, between, carbon, cycle, earth’s, explain, interactions, spheres, within",AC9S9U03,High
Science,Science,Year 9,AC9S9ASC04,They analyse energy conservation in simple systems and apply wave and particle models to describe energy transfer.,Science understanding,"analyse, apply, conservation, describe, energy, models, particle, simple, systems, transfer, wave","AC9S9U04, AC9S9U05",High
Science,Science,Year 9,AC9S9ASC05,"They explain observable chemical processes in terms of changes in atomic structure, atomic rearrangement and mass.",Science understanding,"atomic, changes, chemical, explain, mass, observable, processes, rearrangement, structure, terms","AC9S9U06, AC9S9U07",High
Science,Science,Year 9,AC9S9ASC06,"Students explain the role of publication and peer review in the development of scientific knowledge and explain the relationship between science, technologies and engineering.",Science as a human endeavour,"between, development, engineering, explain, knowledge, peer, publication, relationship, review, role, science, scientific, technologies","AC9S9H01, AC9S9H02",High
Science,Science,Year 9,AC9S9ASC07,They analyse the different ways in which science and society are interconnected.,Science as a human endeavour,"analyse, different, interconnected, science, society, ways","AC9S9H03, AC9S9H04",High
Science,Science,Year 9,AC9S9ASC08,"Students plan and conduct safe, reproducible investigations to test or identify relationships and models.",Science inquiry skills,"conduct, identify, investigations, models, plan, relationships, reproducible, safe, test","AC9S9I01, AC9S9I02",High
Science,Science,Year 9,AC9S9ASC09,They describe how they have addressed any ethical and intercultural considerations when generating or using primary and secondary data.,Science inquiry skills,"addressed, considerations, data, describe, ethical, generating, intercultural, primary, secondary, when",AC9S9I02,High
Science,Science,Year 9,AC9S9ASC10,They select and use equipment to generate and record replicable data with precision.,Science inquiry skills,"data, equipment, generate, precision, record, replicable, select",AC9S9I03,High
Science,Science,Year 9,AC9S9ASC11,"They select and construct appropriate representations to organise, process and summarise data and information.",Science inquiry skills,"appropriate, construct, data, information, organise, process, representations, select, summarise",AC9S9I04,High
Science,Science,Year 9,AC9S9ASC12,"They analyse and connect data and information to identify and explain patterns, trends, relationships and anomalies.",Science inquiry skills,"analyse, anomalies, connect, data, explain, identify, information, patterns, relationships, trends",AC9S9I05,High
Science,Science,Year 9,AC9S9ASC13,They analyse the impact of assumptions and sources of error in methods and evaluate the validity of conclusions and claims.,Science inquiry skills,"analyse, assumptions, claims, conclusions, error, evaluate, impact, methods, sources, validity",AC9S9I06,High
Science,Science,Year 9,AC9S9ASC14,They construct logical arguments based on evidence to support conclusions and evaluate claims.,Science inquiry skills,"arguments, based, claims, conclusions, construct, evaluate, evidence, logical, support",AC9S9I07,High
Science,Science,Year 9,AC9S9ASC15,"They select and use content, language and text features effectively to achieve their purpose when communicating their ideas, findings and arguments to specific audiences.",Science inquiry skills,"achieve, arguments, audiences, communicating, content, effectively, features, findings, ideas, language, purpose, select, specific, text, when",AC9S9I08,High
Science,Science,Year 10,AC9S10ASC01,By the end of Year 10 students explain the processes that underpin heredity and genetic diversity and describe the evidence supporting the theory of evolution by natural selection.,Science understanding,"describe, diversity, evidence, evolution, explain, genetic, heredity, natural, processes, selection, supporting, theory, underpin, year","AC9S10U01, AC9S10U02",High
Science,Science,Year 10,AC9S10ASC02,They sequence key events in the origin and evolution of the universe and describe the supporting evidence for the big bang theory.,Science understanding,"bang, describe, events, evidence, evolution, origin, sequence, supporting, theory, universe",AC9S10U03,High
Science,Science,Year 10,AC9S10ASC03,They describe trends in patterns of global climate change and identify causal factors.,Science understanding,"causal, change, climate, describe, factors, global, identify, patterns, trends",AC9S10U04,High
Science,Science,Year 10,AC9S10ASC04,They explain how Newton’s laws describe motion and apply them to predict motion of objects in a system.,Science understanding,"apply, describe, explain, laws, motion, newton’s, objects, predict, system",AC9S10U05,High
Science,Science,Year 10,AC9S10ASC05,They explain patterns and trends in the periodic table and predict the products of reactions and the effect of changing reactant and reaction conditions.,Science understanding,"changing, conditions, effect, explain, patterns, periodic, predict, products, reactant, reaction, reactions, table, trends","AC9S10U06, AC9S10U07",High
Science,Science,Year 10,AC9S10ASC06,"Students analyse the importance of publication and peer review in the development of scientific knowledge and analyse the relationship between science, technologies and engineering.",Science as a human endeavour,"analyse, between, development, engineering, importance, knowledge, peer, publication, relationship, review, science, scientific, technologies","AC9S10H01, AC9S10H02",High
Science,Science,Year 10,AC9S10ASC07,They analyse the key factors that influence interactions between science and society.,Science as a human endeavour,"analyse, between, factors, influence, interactions, science, society","AC9S10H03, AC9S10H04",High
Science,Science,Year 10,AC9S10ASC08,"Students plan and conduct safe, valid and reproducible investigations to test relationships or develop explanatory models.",Science inquiry skills,"conduct, develop, explanatory, investigations, models, plan, relationships, reproducible, safe, test, valid","AC9S10I01, AC9S10I02",High
Science,Science,Year 10,AC9S10ASC09,They explain how they have addressed any ethical and intercultural considerations when generating or using primary and secondary data.,Science inquiry skills,"addressed, considerations, data, ethical, explain, generating, intercultural, primary, secondary, when",AC9S10I02,High
Science,Science,Year 10,AC9S10ASC10,They select equipment and use it efficiently to generate and record appropriate sample sizes and replicable data with precision.,Science inquiry skills,"appropriate, data, efficiently, equipment, generate, precision, record, replicable, sample, select, sizes",AC9S10I03,High
Science,Science,Year 10,AC9S10ASC11,"They select and construct effective representations to organise, process and summarise data and information.",Science inquiry skills,"construct, data, effective, information, organise, process, representations, select, summarise",AC9S10I04,High
Science,Science,Year 10,AC9S10ASC12,"They analyse and connect a variety of data and information to identify and explain patterns, trends, relationships and anomalies.",Science inquiry skills,"analyse, anomalies, connect, data, explain, identify, information, patterns, relationships, trends, variety",AC9S10I05,High
Science,Science,Year 10,AC9S10ASC13,"They evaluate the validity and reproducibility of methods, and the validity of conclusions and claims.",Science inquiry skills,"claims, conclusions, evaluate, methods, reproducibility, validity",AC9S10I06,High
Science,Science,Year 10,AC9S10ASC14,They construct logical arguments based on analysis of a variety of evidence to support conclusions and evaluate claims.,Science inquiry skills,"analysis, arguments, based, claims, conclusions, construct, evaluate, evidence, logical, support, variety",AC9S10I07,High
Science,Science,Year 10,AC9S10ASC15,"They select and use content, language and text features effectively to achieve their purpose when communicating their ideas, findings and arguments to diverse audiences.",Science inquiry skills,"achieve, arguments, audiences, communicating, content, diverse, effectively, features, findings, ideas, language, purpose, select, text, when",AC9S10I08,High
